ThickTR[Min:0.2 Max:0.6 Step:0.133333333333]
ThickTL[Min:0.2 Max:0.6 Step:0.133333333333]
ThickBL[Min:0.2 Max:0.6 Step:0.133333333333]
ThickBR[Min:0.2 Max:0.6 Step:0.133333333333]
Fillet[Min:0.5 Max:2.5 Step:0.666666666667]
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
Material:	ThickTR:	ThickTL:	ThickBL:	ThickBR:	Fillet:	K_xy:	K_y:	K_theta:	mass:
Aluminum 2219	0.600	0.200	0.600	0.600	1.500	1154112896.000	1185664512.000	116085252096.000	443850.322
Aluminum 2219	0.600	0.200	0.600	0.600	2.500	1209355008.000	1244773888.000	121768976384.000	450271.209
Aluminum 2219	0.600	0.400	0.200	0.200	0.500	708389376.000	718783040.000	71008092160.000	425660.571
Aluminum 2219	0.600	0.400	0.200	0.200	1.500	731038272.000	744776256.000	73293848576.000	428871.014
Aluminum 2219	0.600	0.400	0.200	0.200	2.500	794816256.000	808811072.000	79736356864.000	435291.901
Aluminum 2219	0.600	0.400	0.200	0.400	0.500	866247616.000	879694336.000	86798426112.000	430628.387
Aluminum 2219	0.600	0.400	0.200	0.400	1.500	885320640.000	903388800.000	88708448256.000	433838.830
Aluminum 2219	0.600	0.400	0.200	0.400	2.500	960124096.000	979704000.000	96261177344.000	440259.717
Aluminum 2219	0.600	0.400	0.200	0.600	0.500	989871104.000	1009218048.000	99385524224.000	435652.362
Aluminum 2219	0.600	0.400	0.200	0.600	1.500	980780736.000	1004270016.000	98574778368.000	438862.805
Aluminum 2219	0.600	0.400	0.200	0.600	2.500	1061414144.000	1088360448.000	106700169216.000	445283.692
Aluminum 2219	0.600	0.400	0.400	0.200	0.500	926676096.000	941104640.000	92935479296.000	430647.087
Aluminum 2219	0.600	0.400	0.400	0.200	1.500	962158400.000	979047104.000	96451182592.000	433857.530
Aluminum 2219	0.600	0.400	0.400	0.200	2.500	1012167616.000	1035879616.000	101405868032.000	440278.417
Aluminum 2219	0.600	0.400	0.400	0.400	0.500	1096079104.000	1116794496.000	109887889408.000	435596.202
Aluminum 2219	0.600	0.400	0.400	0.400	1.500	1136200576.000	1160696448.000	113938161664.000	438806.646
Aluminum 2219	0.600	0.400	0.400	0.400	2.500	1185658240.000	1219849984.000	119068876800.000	445227.533
Aluminum 2219	0.600	0.400	0.400	0.600	0.500	1190469248.000	1219420032.000	119489896448.000	440601.477
Aluminum 2219	0.600	0.400	0.400	0.600	1.500	1234700672.000	1267331712.000	123986550784.000	443811.921
Aluminum 2219	0.600	0.400	0.400	0.600	2.500	1287065984.000	1328065024.000	129584029696.000	450232.808
Aluminum 2219	0.600	0.400	0.600	0.200	0.500	1066997632.000	1084035072.000	107266654208.000	435689.762
Aluminum 2219	0.600	0.400	0.600	0.200	1.500	1115552896.000	1136561536.000	112164454400.000	438900.205
Aluminum 2219	0.600	0.400	0.600	0.200	2.500	1160583424.000	1182769152.000	116868939776.000	445321.092
Aluminum 2219	0.600	0.400	0.600	0.400	0.500	1237964288.000	1263849856.000	124280807424.000	440620.177
Aluminum 2219	0.600	0.400	0.600	0.400	1.500	1280769024.000	1311124224.000	128618627072.000	443830.621
Aluminum 2219	0.600	0.400	0.600	0.400	2.500	1350919936.000	1385246336.000	135764828160.000	450251.508
Aluminum 2219	0.600	0.400	0.600	0.600	0.500	1320504832.000	1358363520.000	132812537856.000	445606.752
Aluminum 2219	0.600	0.400	0.600	0.600	1.500	1355265408.000	1395382272.000	136327364608.000	448817.196
Aluminum 2219	0.600	0.400	0.600	0.600	2.500	1412645376.000	1456456960.000	142138327040.000	455238.083
Aluminum 2219	0.600	0.600	0.200	0.200	0.500	764893888.000	777010496.000	76718546944.000	430679.548
Aluminum 2219	0.600	0.600	0.200	0.200	1.500	786505536.000	800550912.000	78971305984.000	433889.991
Aluminum 2219	0.600	0.600	0.200	0.200	2.500	828082688.000	847914624.000	82898386944.000	440310.878
Aluminum 2219	0.600	0.600	0.200	0.400	0.500	984172352.000	1003265600.000	98672959488.000	435647.364
Aluminum 2219	0.600	0.600	0.200	0.400	1.500	1019678400.000	1042681920.000	102179463168.000	438857.807
Aluminum 2219	0.600	0.600	0.200	0.400	2.500	1068014400.000	1094007424.000	107089551360.000	445278.694
Aluminum 2219	0.600	0.600	0.200	0.600	0.500	1109856512.000	1133053696.000	111552241664.000	440671.339
Aluminum 2219	0.600	0.600	0.200	0.600	1.500	1163081600.000	1191041408.000	116984168448.000	443881.782
Aluminum 2219	0.600	0.600	0.200	0.600	2.500	1218884992.000	1251175808.000	122726711296.000	450302.669
Aluminum 2219	0.600	0.600	0.400	0.200	0.500	971717120.000	989309952.000	97463353344.000	435647.364
Aluminum 2219	0.600	0.600	0.400	0.200	1.500	1010047808.000	1031186624.000	101323710464.000	438857.807
Aluminum 2219	0.600	0.600	0.400	0.200	2.500	1066662912.000	1092334720.000	106921844736.000	445278.694
Aluminum 2219	0.600	0.600	0.400	0.400	0.500	1193182592.000	1222408192.000	119614210048.000	440596.479
